iteration, time(ns)
0, 13.75
1, 13.75
2, 14.17
3, 14.17
4, 14.16
5, 13.75
6, 13.75
7, 13.75
8, 14.17
9, 13.75
10, 14.17
11, 13.75
12, 13.75
13, 13.75
14, 13.75
15, 13.75
16, 13.75
17, 13.75
18, 13.75
19, 13.75
20, 13.75
21, 13.75
22, 13.75
23, 13.75
24, 13.75
25, 13.75
26, 13.75
27, 13.75
28, 13.75
29, 13.75
30, 13.75
31, 13.75
32, 13.75
33, 13.75
34, 13.75
35, 13.75
36, 13.75
37, 13.33
38, 13.75
39, 13.75
40, 13.75
41, 13.75
42, 13.75
43, 13.75
44, 13.75
45, 13.75
46, 13.75
47, 13.75
48, 13.75
49, 13.75
50, 13.75
51, 13.75
52, 13.75
53, 13.75
54, 14.17
55, 13.75
56, 13.75
57, 15.00
58, 13.75
59, 13.75
60, 14.58
61, 13.75
62, 14.59
63, 13.75
64, 13.75
65, 15.00
66, 14.58
67, 13.75
68, 17.91
69, 17.50
70, 17.92
71, 17.92
72, 17.50
73, 17.92
74, 19.58
75, 17.92
76, 20.00
77, 17.91
78, 17.08
79, 17.08
80, 19.17
81, 20.00
82, 17.92
83, 17.92
84, 17.50
85, 17.91
86, 17.50
87, 17.50
88, 17.92
89, 17.50
90, 17.91
91, 15.83
92, 14.16
93, 13.75
94, 13.75
95, 13.75
96, 13.75
97, 13.75
98, 13.75
99, 14.17
100, 13.75
101, 14.17
102, 14.17
103, 13.75
104, 13.75
105, 13.75
106, 13.75
107, 13.75
108, 13.75
109, 13.75
110, 13.75
111, 13.75
112, 14.58
113, 13.75
114, 14.17
115, 14.58
116, 13.75
117, 13.75
118, 13.75
119, 13.75
120, 13.75
121, 13.75
122, 14.16
123, 13.75
124, 13.75
125, 13.75
126, 13.75
127, 13.75
128, 14.16
129, 13.33
130, 13.75
131, 13.75
132, 14.17
133, 13.75
134, 14.58
135, 13.75
136, 13.75
137, 13.75
138, 13.75
139, 13.75
140, 13.75
141, 13.75
142, 13.75
143, 13.75
144, 13.75
145, 13.75
146, 13.75
147, 13.75
148, 13.75
149, 14.17
150, 13.75
151, 13.75
152, 13.75
153, 13.75
154, 13.75
155, 13.75
156, 13.75
157, 14.16
158, 13.75
159, 13.75
160, 13.75
161, 13.75
162, 13.75
163, 13.75
164, 13.75
165, 13.75
166, 13.75
167, 13.75
168, 13.75
169, 14.17
170, 13.75
171, 13.75
172, 13.75
173, 13.75
174, 13.75
175, 13.75
176, 13.75
177, 13.75
178, 13.75
179, 13.75
180, 13.75
181, 13.75
182, 13.75
183, 14.17
184, 13.75
185, 13.75
186, 13.75
187, 13.75
188, 13.75
189, 13.75
190, 13.75
191, 13.75
192, 13.75
193, 13.75
194, 13.75
195, 13.75
196, 13.75
197, 13.75
198, 13.75
199, 13.75
200, 13.75
201, 13.75
202, 13.75
203, 13.75
204, 13.75
205, 13.75
206, 13.75
207, 13.75
208, 13.75
209, 13.75
210, 13.75
211, 13.75
212, 14.17
213, 13.75
214, 13.75
215, 13.75
216, 13.75
217, 13.75
218, 13.75
219, 13.75
220, 13.75
221, 13.75
222, 13.75
223, 13.75
224, 13.75
225, 13.75
226, 13.75
227, 13.75
228, 13.75
229, 13.75
230, 14.17
231, 14.17
232, 13.75
233, 13.75
234, 14.16
235, 14.17
236, 14.17
237, 14.16
238, 13.75
239, 13.75
240, 13.75
241, 13.75
242, 13.75
243, 14.17
244, 13.75
245, 13.75
246, 13.75
247, 13.75
248, 13.75
249, 13.75
250, 13.75
251, 13.75
252, 13.75
253, 13.75
254, 13.75
255, 13.75
256, 13.75
257, 13.75
258, 13.75
259, 14.17
260, 13.75
261, 13.75
262, 14.16
263, 14.17
264, 13.75
265, 13.75
266, 14.17
267, 13.75
268, 13.75
269, 13.75
270, 13.33
271, 13.75
272, 13.75
273, 13.75
274, 13.75
275, 13.75
276, 13.75
277, 13.75
278, 13.75
279, 14.17
280, 13.75
281, 13.75
282, 13.75
283, 13.75
284, 13.75
285, 13.75
286, 13.75
287, 13.75
288, 13.75
289, 13.75
290, 14.17
291, 13.75
292, 13.75
293, 13.75
294, 13.75
295, 13.75
296, 13.75
297, 13.75
298, 14.59
299, 14.17
300, 13.75
301, 13.75
302, 13.75
303, 14.58
304, 13.75
305, 14.17
306, 13.75
307, 13.75
308, 13.75
309, 13.75
310, 13.33
311, 13.75
312, 13.75
313, 13.75
314, 13.75
315, 13.75
316, 13.75
317, 13.75
318, 13.75
319, 13.75
320, 13.75
321, 13.75
322, 13.75
323, 14.16
324, 13.75
325, 14.17
326, 13.75
327, 13.75
328, 13.75
329, 13.75
330, 14.17
331, 13.75
332, 13.75
333, 13.75
334, 13.75
335, 13.75
336, 13.75
337, 13.75
338, 13.75
339, 13.75
340, 13.75
341, 13.75
342, 13.75
343, 13.75
344, 13.75
345, 13.75
346, 13.75
347, 13.75
348, 13.75
349, 13.75
350, 13.75
351, 13.75
352, 13.75
353, 14.16
354, 13.75
355, 13.75
356, 13.75
357, 13.75
358, 13.75
359, 13.75
360, 13.75
361, 13.75
362, 13.75
363, 13.75
364, 13.75
365, 13.75
366, 13.75
367, 13.75
368, 13.75
369, 13.75
370, 13.75
371, 13.75
372, 13.75
373, 13.75
374, 13.75
375, 13.75
376, 13.75
377, 13.75
378, 13.75
379, 13.75
380, 13.75
381, 13.75
382, 13.75
383, 13.75
384, 13.75
385, 14.17
386, 13.75
387, 13.75
388, 13.75
389, 13.75
390, 13.75
391, 13.75
392, 13.75
393, 13.75
394, 13.75
395, 13.75
396, 13.75
397, 13.75
398, 13.75
399, 13.75
400, 13.75
401, 13.33
402, 13.75
403, 14.17
404, 14.17
405, 13.75
406, 13.75
407, 13.75
408, 13.75
409, 13.75
410, 13.75
411, 13.75
412, 13.75
413, 13.75
414, 13.33
415, 13.75
416, 14.17
417, 13.75
418, 13.75
419, 13.75
420, 13.75
421, 13.75
422, 14.17
423, 13.75
424, 13.75
425, 13.75
426, 13.75
427, 13.75
428, 13.75
429, 13.75
430, 13.75
431, 14.17
432, 13.75
433, 14.16
434, 14.17
435, 13.75
436, 14.16
437, 13.75
438, 13.75
439, 13.75
440, 13.75
441, 13.75
442, 13.75
443, 14.17
444, 13.75
445, 14.16
446, 13.75
447, 13.75
448, 13.75
449, 13.75
450, 13.75
451, 13.75
452, 13.75
453, 13.75
454, 13.75
455, 13.75
456, 13.75
457, 14.16
458, 13.75
459, 13.75
460, 13.75
461, 13.75
462, 13.75
463, 13.75
464, 13.75
465, 13.75
466, 13.34
467, 15.00
468, 13.75
469, 13.75
470, 15.83
471, 14.16
472, 13.33
473, 13.34
474, 13.34
475, 13.34
476, 12.92
477, 12.92
478, 13.33
479, 12.91
480, 12.91
481, 12.92
482, 13.34
483, 13.34
484, 12.92
485, 13.33
486, 13.33
487, 12.92
488, 13.34
489, 13.33
490, 13.33
491, 13.34
492, 13.33
493, 12.92
494, 13.34
495, 13.33
496, 13.33
497, 13.34
498, 13.75
499, 13.34
500, 12.92
501, 13.33
502, 13.33
503, 13.34
504, 13.33
505, 12.92
506, 12.91
507, 13.75
508, 13.33
509, 13.75
510, 13.34
511, 13.33
512, 13.75
513, 12.91
514, 13.75
515, 13.33
516, 12.91
517, 12.91
518, 13.33
519, 14.17
520, 12.91
521, 13.34
522, 13.75
523, 13.34
524, 13.33
525, 12.91
526, 13.33
527, 13.33
528, 13.34
529, 12.92
530, 12.92
531, 13.34
532, 13.34
533, 13.33
534, 13.75
535, 13.33
536, 13.34
537, 13.33
538, 12.91
539, 13.75
540, 13.75
541, 13.33
542, 13.33
543, 12.50
544, 13.33
545, 13.33
546, 12.92
547, 13.33
548, 13.33
549, 13.33
550, 13.75
551, 13.75
552, 12.92
553, 13.34
554, 13.34
555, 13.33
556, 13.33
557, 13.34
558, 13.33
559, 13.33
560, 13.34
561, 13.33
562, 13.33
563, 13.34
564, 13.75
565, 13.34
566, 13.75
567, 13.33
568, 13.33
569, 12.92
570, 13.33
571, 13.33
572, 13.34
573, 13.33
574, 13.33
575, 13.34
576, 13.33
577, 13.33
578, 13.34
579, 13.33
580, 13.33
581, 13.34
582, 13.33
583, 13.33
584, 13.75
585, 12.92
586, 13.33
587, 13.33
588, 13.34
589, 16.67
590, 17.08
591, 18.75
592, 18.34
593, 17.92
594, 17.92
595, 17.91
596, 17.92
597, 17.92
598, 17.50
599, 17.92
600, 17.91
601, 15.00
602, 13.75
603, 13.75
604, 13.75
605, 13.75
606, 13.75
607, 13.75
608, 13.75
609, 13.75
610, 13.75
611, 13.75
612, 13.75
613, 14.16
614, 13.75
615, 13.75
616, 13.75
617, 13.75
618, 13.75
619, 13.75
620, 13.75
621, 13.75
622, 13.75
623, 13.75
624, 13.75
625, 13.75
626, 13.75
627, 13.34
628, 13.75
629, 13.75
630, 13.75
631, 13.75
632, 13.75
633, 13.75
634, 13.75
635, 13.75
636, 13.75
637, 13.75
638, 13.75
639, 13.75
640, 13.75
641, 13.75
642, 13.34
643, 13.75
644, 13.75
645, 13.75
646, 14.17
647, 13.75
648, 13.75
649, 13.75
650, 13.75
651, 13.75
652, 13.75
653, 13.75
