Array Size(Bytes),Stride Size(Bytes),Latency(ns)
12.000000, 4, 4.53
12.000000, 8, 4.91
12.000000, 16, 5.99
12.000000, 32, 6.57
12.000000, 64, 5.47
12.000000, 128, 5.06
12.000000, 256, 4.39
12.000000, 512, 4.34
12.000000, 1024, 3.88
12.000000, 2048, 3.69
12.000000, 4096, 3.60
12.000000, 8192, 3.48
12.000000, 16384, 3.37
12.000000, 32768, 3.22
12.000000, 65536, 3.15
12.000000, 131072, 3.12
12.000000, 262144, 3.02
12.000000, 524288, 2.96
12.000000, 1048576, 2.87

13.000000, 4, 2.78
13.000000, 8, 2.77
13.000000, 16, 2.77
13.000000, 32, 2.76
13.000000, 64, 2.67
13.000000, 128, 2.68
13.000000, 256, 2.73
13.000000, 512, 2.65
13.000000, 1024, 2.69
13.000000, 2048, 2.69
13.000000, 4096, 2.76
13.000000, 8192, 3.29
13.000000, 16384, 3.02
13.000000, 32768, 2.67
13.000000, 65536, 2.70
13.000000, 131072, 2.69
13.000000, 262144, 2.64
13.000000, 524288, 2.49
13.000000, 1048576, 2.49

14.000000, 4, 2.58
14.000000, 8, 2.74
14.000000, 16, 2.60
14.000000, 32, 2.54
14.000000, 64, 2.51
14.000000, 128, 2.64
14.000000, 256, 2.66
14.000000, 512, 2.57
14.000000, 1024, 2.50
14.000000, 2048, 2.50
14.000000, 4096, 2.56
14.000000, 8192, 2.79
14.000000, 16384, 2.60
14.000000, 32768, 2.62
14.000000, 65536, 2.51
14.000000, 131072, 2.51
14.000000, 262144, 2.71
14.000000, 524288, 2.58
14.000000, 1048576, 2.54

15.000000, 4, 2.56
15.000000, 8, 2.51
15.000000, 16, 3.97
15.000000, 32, 2.68
15.000000, 64, 2.50
15.000000, 128, 2.51
15.000000, 256, 2.62
15.000000, 512, 2.83
15.000000, 1024, 2.50
15.000000, 2048, 2.58
15.000000, 4096, 2.52
15.000000, 8192, 2.54
15.000000, 16384, 2.71
15.000000, 32768, 2.67
15.000000, 65536, 2.65
15.000000, 131072, 2.63
15.000000, 262144, 2.82
15.000000, 524288, 2.86
15.000000, 1048576, 2.83

16.000000, 4, 2.78
16.000000, 8, 2.76
16.000000, 16, 2.77
16.000000, 32, 2.73
16.000000, 64, 2.69
16.000000, 128, 2.68
16.000000, 256, 2.62
16.000000, 512, 2.65
16.000000, 1024, 2.76
16.000000, 2048, 2.73
16.000000, 4096, 2.70
16.000000, 8192, 2.76
16.000000, 16384, 2.75
16.000000, 32768, 2.77
16.000000, 65536, 7.02
16.000000, 131072, 22.08
16.000000, 262144, 3.27
16.000000, 524288, 2.84
16.000000, 1048576, 3.46

17.000000, 4, 4.72
17.000000, 8, 4.53
17.000000, 16, 2.72
17.000000, 32, 2.63
17.000000, 64, 2.50
17.000000, 128, 2.58
17.000000, 256, 2.54
17.000000, 512, 2.69
17.000000, 1024, 2.72
17.000000, 2048, 2.52
17.000000, 4096, 2.51
17.000000, 8192, 2.59
17.000000, 16384, 2.73
17.000000, 32768, 2.52
17.000000, 65536, 2.59
17.000000, 131072, 2.58
17.000000, 262144, 2.55
17.000000, 524288, 2.69
17.000000, 1048576, 2.75

18.000000, 4, 2.70
18.000000, 8, 2.58
18.000000, 16, 2.62
18.000000, 32, 2.74
18.000000, 64, 2.56
18.000000, 128, 2.63
18.000000, 256, 2.57
18.000000, 512, 2.59
18.000000, 1024, 2.79
18.000000, 2048, 2.74
18.000000, 4096, 2.63
18.000000, 8192, 2.58
18.000000, 16384, 2.59
18.000000, 32768, 2.75
18.000000, 65536, 2.60
18.000000, 131072, 2.58
18.000000, 262144, 2.57
18.000000, 524288, 2.58
18.000000, 1048576, 2.71

19.000000, 4, 2.71
19.000000, 8, 2.58
19.000000, 16, 2.57
19.000000, 32, 2.58
19.000000, 64, 2.71
19.000000, 128, 2.65
19.000000, 256, 2.57
19.000000, 512, 2.59
19.000000, 1024, 2.56
19.000000, 2048, 2.77
19.000000, 4096, 2.89
19.000000, 8192, 2.67
19.000000, 16384, 2.62
19.000000, 32768, 2.61
19.000000, 65536, 2.76
19.000000, 131072, 2.59
19.000000, 262144, 2.59
19.000000, 524288, 2.56
19.000000, 1048576, 2.59

20.000000, 4, 2.81
20.000000, 8, 2.66
20.000000, 16, 2.59
20.000000, 32, 2.59
20.000000, 64, 2.58
20.000000, 128, 2.76
20.000000, 256, 2.68
20.000000, 512, 2.59
20.000000, 1024, 2.56
20.000000, 2048, 2.57
20.000000, 4096, 2.71
20.000000, 8192, 2.71
20.000000, 16384, 2.55
20.000000, 32768, 2.59
20.000000, 65536, 2.61
20.000000, 131072, 2.70
20.000000, 262144, 2.61
20.000000, 524288, 2.59
20.000000, 1048576, 2.61

21.000000, 4, 2.69
21.000000, 8, 2.77
21.000000, 16, 2.66
21.000000, 32, 2.63
21.000000, 64, 2.63
21.000000, 128, 2.65
21.000000, 256, 2.76
21.000000, 512, 2.76
21.000000, 1024, 2.67
21.000000, 2048, 2.73
21.000000, 4096, 2.63
21.000000, 8192, 2.80
21.000000, 16384, 2.61
21.000000, 32768, 2.62
21.000000, 65536, 2.71
21.000000, 131072, 2.62
21.000000, 262144, 2.79
21.000000, 524288, 2.62
21.000000, 1048576, 2.58

22.000000, 4, 2.60
22.000000, 8, 2.67
22.000000, 16, 2.80
22.000000, 32, 2.57
22.000000, 64, 2.58
22.000000, 128, 2.72
22.000000, 256, 2.90
22.000000, 512, 2.72
22.000000, 1024, 2.71
22.000000, 2048, 2.71
22.000000, 4096, 2.66
22.000000, 8192, 2.75
22.000000, 16384, 2.73
22.000000, 32768, 2.76
22.000000, 65536, 2.74
22.000000, 131072, 2.62
22.000000, 262144, 2.80
22.000000, 524288, 2.84
22.000000, 1048576, 2.66

23.000000, 4, 2.73
23.000000, 8, 3.13
23.000000, 16, 2.93
23.000000, 32, 2.69
23.000000, 64, 2.69
23.000000, 128, 2.72
23.000000, 256, 2.91
23.000000, 512, 2.72
23.000000, 1024, 2.64
23.000000, 2048, 2.65
23.000000, 4096, 2.73
23.000000, 8192, 2.88
23.000000, 16384, 2.85
23.000000, 32768, 2.69
23.000000, 65536, 2.64
23.000000, 131072, 2.77
23.000000, 262144, 3.00
23.000000, 524288, 2.71
23.000000, 1048576, 2.66

24.000000, 4, 4.60
24.000000, 8, 3.36
24.000000, 16, 3.41
24.000000, 32, 4.08
24.000000, 64, 3.48
24.000000, 128, 3.48
24.000000, 256, 3.73
24.000000, 512, 4.15
24.000000, 1024, 3.39
24.000000, 2048, 3.35
24.000000, 4096, 3.90
24.000000, 8192, 3.45
24.000000, 16384, 3.41
24.000000, 32768, 3.43
24.000000, 65536, 4.57
24.000000, 131072, 3.78
24.000000, 262144, 3.43
24.000000, 524288, 3.78
24.000000, 1048576, 3.68

25.000000, 4, 5.48
25.000000, 8, 5.07
25.000000, 16, 4.63
25.000000, 32, 4.19
25.000000, 64, 7.52
25.000000, 128, 5.41
25.000000, 256, 6.40
25.000000, 512, 5.58
25.000000, 1024, 5.56
25.000000, 2048, 6.57
25.000000, 4096, 5.84
25.000000, 8192, 5.92
25.000000, 16384, 6.31
25.000000, 32768, 6.31
25.000000, 65536, 4.16
25.000000, 131072, 5.40
25.000000, 262144, 4.27
25.000000, 524288, 4.11
25.000000, 1048576, 5.35

26.000000, 4, 13.30
26.000000, 8, 10.04
26.000000, 16, 9.50
26.000000, 32, 10.33
26.000000, 64, 9.99
26.000000, 128, 9.40
26.000000, 256, 10.67
26.000000, 512, 10.17
26.000000, 1024, 10.57
26.000000, 2048, 10.29
26.000000, 4096, 9.31
26.000000, 8192, 11.03
26.000000, 16384, 10.28
26.000000, 32768, 10.19
26.000000, 65536, 9.38
26.000000, 131072, 10.04
26.000000, 262144, 10.42
26.000000, 524288, 10.51
26.000000, 1048576, 10.25

27.000000, 4, 10.61
27.000000, 8, 11.13
27.000000, 16, 10.98
27.000000, 32, 12.73
27.000000, 64, 9.95
27.000000, 128, 10.88
27.000000, 256, 10.56
27.000000, 512, 11.09
27.000000, 1024, 10.75
27.000000, 2048, 10.50
27.000000, 4096, 9.46
27.000000, 8192, 10.76
27.000000, 16384, 11.11
27.000000, 32768, 10.71
27.000000, 65536, 11.09
27.000000, 131072, 10.39
27.000000, 262144, 11.29
27.000000, 524288, 10.72
27.000000, 1048576, 10.58

28.000000, 4, 10.68
28.000000, 8, 14.04
28.000000, 16, 14.56
28.000000, 32, 13.01
28.000000, 64, 16.26
28.000000, 128, 12.28
28.000000, 256, 13.30
28.000000, 512, 12.79
28.000000, 1024, 14.38
28.000000, 2048, 12.10
28.000000, 4096, 14.88
28.000000, 8192, 12.89
28.000000, 16384, 12.55
28.000000, 32768, 11.41
28.000000, 65536, 10.94
28.000000, 131072, 11.01
28.000000, 262144, 11.09
28.000000, 524288, 9.96
28.000000, 1048576, 10.42

29.000000, 4, 10.47
29.000000, 8, 11.83
29.000000, 16, 11.19
29.000000, 32, 11.66
29.000000, 64, 10.45
29.000000, 128, 10.56
29.000000, 256, 10.37
29.000000, 512, 9.90
29.000000, 1024, 10.49
29.000000, 2048, 10.23
29.000000, 4096, 10.23
29.000000, 8192, 10.47
29.000000, 16384, 10.43
29.000000, 32768, 10.47
29.000000, 65536, 10.49
29.000000, 131072, 10.36
29.000000, 262144, 10.49
29.000000, 524288, 10.32
29.000000, 1048576, 10.71

30.000000, 4, 10.51
30.000000, 8, 11.29
30.000000, 16, 11.72
30.000000, 32, 10.26
30.000000, 64, 10.95
30.000000, 128, 11.75
30.000000, 256, 10.36
30.000000, 512, 11.29
30.000000, 1024, 11.19
30.000000, 2048, 10.60
30.000000, 4096, 12.28
30.000000, 8192, 11.59
30.000000, 16384, 10.67
30.000000, 32768, 10.72
30.000000, 65536, 9.76
30.000000, 131072, 10.38
30.000000, 262144, 11.16
30.000000, 524288, 10.72
30.000000, 1048576, 17.68

31.000000, 4, 235.68
31.000000, 8, 253.63
31.000000, 16, 185.92
31.000000, 32, 170.23
31.000000, 64, 110.51
31.000000, 128, 136.11
31.000000, 256, 183.12
31.000000, 512, 219.55
31.000000, 1024, 275.61
31.000000, 2048, 229.42
31.000000, 4096, 198.72
31.000000, 8192, 166.76
31.000000, 16384, 214.53
31.000000, 32768, 182.78
31.000000, 65536, 203.82
31.000000, 131072, 126.95
31.000000, 262144, 125.01
31.000000, 524288, 224.63
31.000000, 1048576, 266.72

32.000000, 4, 261.89
32.000000, 8, 252.80
32.000000, 16, 257.41
32.000000, 32, 258.74
32.000000, 64, 237.48
32.000000, 128, 241.06
32.000000, 256, 298.56
32.000000, 512, 283.99
32.000000, 1024, 265.12
32.000000, 2048, 237.85
32.000000, 4096, 258.50
32.000000, 8192, 230.09
32.000000, 16384, 271.32
32.000000, 32768, 233.07
32.000000, 65536, 258.89
32.000000, 131072, 248.71
32.000000, 262144, 248.86
32.000000, 524288, 253.39
32.000000, 1048576, 220.05

