Array Size(2^n Bytes),Stride Size(Bytes),Latency(ns)
12.000000, 128, 5.78
12.000000, 256, 4.92
12.000000, 512, 5.74
12.000000, 1024, 2.94
12.000000, 2048, 4.07
12.000000, 4096, 1.76
12.000000, 8192, 1.16
12.000000, 16384, 1.03
12.000000, 32768, 1.03
12.000000, 65536, 1.05
12.000000, 131072, 1.06
12.000000, 262144, 1.06
12.000000, 524288, 1.09
12.000000, 1048576, 1.08

13.000000, 128, 3.06
13.000000, 256, 3.22
13.000000, 512, 3.84
13.000000, 1024, 3.30
13.000000, 2048, 3.58
13.000000, 4096, 3.52
13.000000, 8192, 1.18
13.000000, 16384, 1.18
13.000000, 32768, 1.17
13.000000, 65536, 1.18
13.000000, 131072, 1.18
13.000000, 262144, 1.12
13.000000, 524288, 1.11
13.000000, 1048576, 1.10

14.000000, 128, 2.72
14.000000, 256, 3.07
14.000000, 512, 3.02
14.000000, 1024, 2.97
14.000000, 2048, 3.43
14.000000, 4096, 3.44
14.000000, 8192, 3.11
14.000000, 16384, 1.09
14.000000, 32768, 0.99
14.000000, 65536, 0.94
14.000000, 131072, 0.94
14.000000, 262144, 0.99
14.000000, 524288, 1.01
14.000000, 1048576, 1.11

15.000000, 128, 3.22
15.000000, 256, 2.94
15.000000, 512, 2.90
15.000000, 1024, 2.68
15.000000, 2048, 2.68
15.000000, 4096, 2.69
15.000000, 8192, 2.70
15.000000, 16384, 2.61
15.000000, 32768, 0.93
15.000000, 65536, 0.93
15.000000, 131072, 0.96
15.000000, 262144, 0.92
15.000000, 524288, 0.93
15.000000, 1048576, 0.93

16.000000, 128, 2.62
16.000000, 256, 2.66
16.000000, 512, 2.50
16.000000, 1024, 2.60
16.000000, 2048, 2.56
16.000000, 4096, 2.59
16.000000, 8192, 2.60
16.000000, 16384, 2.64
16.000000, 32768, 2.61
16.000000, 65536, 0.88
16.000000, 131072, 0.90
16.000000, 262144, 0.90
16.000000, 524288, 0.92
16.000000, 1048576, 0.89

17.000000, 128, 2.53
17.000000, 256, 2.52
17.000000, 512, 2.62
17.000000, 1024, 2.71
17.000000, 2048, 2.56
17.000000, 4096, 2.52
17.000000, 8192, 2.55
17.000000, 16384, 2.55
17.000000, 32768, 2.60
17.000000, 65536, 2.63
17.000000, 131072, 0.95
17.000000, 262144, 0.92
17.000000, 524288, 0.92
17.000000, 1048576, 0.93

18.000000, 128, 2.56
18.000000, 256, 2.54
18.000000, 512, 7.04
18.000000, 1024, 2.67
18.000000, 2048, 2.67
18.000000, 4096, 2.87
18.000000, 8192, 3.27
18.000000, 16384, 6.71
18.000000, 32768, 2.57
18.000000, 65536, 2.53
18.000000, 131072, 2.57
18.000000, 262144, 0.89
18.000000, 524288, 0.91
18.000000, 1048576, 0.89

19.000000, 128, 2.54
19.000000, 256, 2.77
19.000000, 512, 6.98
19.000000, 1024, 2.97
19.000000, 2048, 2.80
19.000000, 4096, 2.92
19.000000, 8192, 6.83
19.000000, 16384, 7.80
19.000000, 32768, 8.01
19.000000, 65536, 2.58
19.000000, 131072, 2.53
19.000000, 262144, 2.51
19.000000, 524288, 2.66
19.000000, 1048576, 1.68

20.000000, 128, 2.79
20.000000, 256, 2.85
20.000000, 512, 7.71
20.000000, 1024, 2.79
20.000000, 2048, 2.87
20.000000, 4096, 2.96
20.000000, 8192, 4.60
20.000000, 16384, 8.98
20.000000, 32768, 6.82
20.000000, 65536, 7.16
20.000000, 131072, 2.54
20.000000, 262144, 2.56
20.000000, 524288, 2.53
20.000000, 1048576, 0.90

21.000000, 128, 2.62
21.000000, 256, 2.79
21.000000, 512, 8.03
21.000000, 1024, 2.58
21.000000, 2048, 2.57
21.000000, 4096, 2.84
21.000000, 8192, 7.08
21.000000, 16384, 7.93
21.000000, 32768, 7.52
21.000000, 65536, 7.75
21.000000, 131072, 9.21
21.000000, 262144, 3.02
21.000000, 524288, 2.57
21.000000, 1048576, 2.57

22.000000, 128, 3.26
22.000000, 256, 2.70
22.000000, 512, 6.89
22.000000, 1024, 2.72
22.000000, 2048, 2.87
